UNIQUE_ID,2007,2012,2017
NLA_AL-10023,NLA06608-1871,NLA12_AL-R03,NA
NLA_AR-10006,NLA06608-0500,NA,NLA17_AR-HP001
NLA_AZ-10043,NLA06608-2217,NLA12_AZ-R01,NA
NLA_CA-10012,NLA06608-0501,NLA12_CA-R01,NA
NLA_CA-10017,NLA06608-0713,NLA12_CA-R02,NA
NLA_CA-10035,NLA06608-1717,NLA12_CA-R03,NA
NLA_CA-10073,NA,NLA12_CA-138,NLA17_CA-10035
NLA_CA-10134,NA,NLA12_CA-200,NLA17_CA-10033
NLA_CO-10004,NLA06608-0079,NLA12_CO-R01,NLA17_CO-HP002
NLA_CO-10024,NLA06608-0715,NLA12_CO-R04,NA
NLA_FL-10090,NA,NLA12_FL-123,NLA17_FL-10020
NLA_ID-10001,NLA06608-R10BULLTR,NLA12_ID-145,NA
NLA_IL-10003,NLA06608-0036,NLA12_IL-R01,NA
NLA_IN-10027,NLA06608-1195,NLA12_IN-105,NLA17_IN-10032
NLA_IN-10038,NLA06608-1755,NLA12_IN-106,NLA17_IN-10031
NLA_IN-10068,NA,NLA12_IN-120,NLA17_IN-10053
NLA_IN-10078,NA,NLA12_IN-130,NLA17_IN-10039
NLA_IN-10093,NA,NLA12_IN-145,NLA17_IN-10051
NLA_IN-10094,NA,NLA12_IN-146,NLA17_IN-10047
NLA_IN-10120,NA,NLA12_IN-172,NLA17_IN-10055
NLA_IN-10144,NA,NLA12_IN-196,NLA17_IN-10037
NLA_KS-10004,NLA06608-R733,NLA12_KS-114,NA
NLA_MD-10001,NLA06608-R31,NA,NLA17_MD-10026
NLA_MN-10018,NLA06608-0110,NLA12_MN-R01,NA
NLA_MO-10004,NLA06608-R772,NLA12_MO-110,NA
NLA_MO-10031,NLA06608-1376,NA,NLA17_MO-HP010
NLA_MT-10090,NLA06608-2177,NA,NLA17_MT-HP002
NLA_NE-10031,NLA06608-0723,NLA12_NE-112,NLA17_NE-10032
NLA_NE-10146,NA,NLA12_NE-154,NLA17_NE-10041
NLA_NV-10002,NLA06608-NV:3,NA,NLA17_NV-10225
NLA_NV-10003,NLA06608-0733,NA,NA
NLA_NY-10018,NLA06608-1333,NLA12_NY-R02,NLA17_NY-HP001
NLA_NY-10031,NA,NLA12_NY-0109,NLA17_NY-10014
NLA_OK-10008,NLA06608-0268,NLA12_OK-108,NLA17_OK-10033
NLA_OK-10012,NLA06608-0376,NLA12_OK-104,NLA17_OK-10035
NLA_OK-10026,NLA06608-0756,NLA12_OK-R09,NA
NLA_OK-10078,NLA06608-4064,NA,NLA17_OK-HP001
NLA_OK-10092,NLA06608-4610,NLA12_OK-R01,NA
NLA_OK-10093,NLA06608-4643,NA,NLA17_OK-HP002
NLA_OK-10129,NA,NLA12_OK-311,NLA17_OK-10045
NLA_OR-10127,NA,NLA12_OR-173,NLA17_OR-10037
NLA_SC-10012,NA,NLA12_SC-106,NLA17_SC-10011
NLA_SC-10018,NA,NLA12_SC-112,NLA17_SC-10012
NLA_SD-10185,NA,NLA12_SD-212,NLA17_SD-10057
